source,seller,property_type,location_text,province,price_php,lot_area_sqm,floor_area_sqm,tct,sale_type,auction_date,maps_url,image_url
foreclosurephilippines,Pag-IBIG,,"Oton, Iloilo",Iloilo,408690.0,36.0,22.0,,,,https://www.google.com/maps/search/?api=1&query=Oton%2C+Iloilo%2C+Philippines,https://www.foreclosurephilippines.com/wp-content/uploads/2026/07/fil5920250915014-310x190.jpg
metrobank,Metrobank,Residential With Improvement,"Pavia, Iloilo",Iloilo,792000.0,45.0,40.0,,,,https://www.google.com/maps/search/?api=1&query=Pavia%2C+Iloilo%2C+Philippines,https://metrobank-ropa-prod.s3.ap-southeast-1.amazonaws.com/60809
foreclosurephilippines,Pag-IBIG,,"Santa Barbara, Iloilo",Iloilo,1156778.0,35.0,38.5,,,,https://www.google.com/maps/search/?api=1&query=Santa+Barbara%2C+Iloilo%2C+Philippines,https://www.foreclosurephilippines.com/wp-content/uploads/2026/07/fil5920250609023-310x190.jpg
foreclosurephilippines,Pag-IBIG,,"Santa Barbara, Iloilo",Iloilo,1167700.0,35.0,38.5,,,,https://www.google.com/maps/search/?api=1&query=Santa+Barbara%2C+Iloilo%2C+Philippines,https://www.foreclosurephilippines.com/wp-content/uploads/2026/07/fil5920250610036-310x190.jpg
foreclosurephilippines,Pag-IBIG,,"Santa Barbara, Iloilo",Iloilo,1207500.0,35.0,38.5,,,,https://www.google.com/maps/search/?api=1&query=Santa+Barbara%2C+Iloilo%2C+Philippines,https://www.foreclosurephilippines.com/wp-content/uploads/2026/07/fil5920250819004-310x190.jpg
foreclosurephilippines,Pag-IBIG,,"Santa Barbara, Iloilo",Iloilo,1224500.0,35.0,38.5,,,,https://www.google.com/maps/search/?api=1&query=Santa+Barbara%2C+Iloilo%2C+Philippines,https://www.foreclosurephilippines.com/wp-content/uploads/2026/07/fil5920250609008-310x190.jpg
foreclosurephilippines,Pag-IBIG,,"Pavia, Iloilo",Iloilo,1226340.0,48.0,55.0,,,,https://www.google.com/maps/search/?api=1&query=Pavia%2C+Iloilo%2C+Philippines,https://www.foreclosurephilippines.com/wp-content/uploads/2026/07/fil5920251103099-310x190.jpg
foreclosurephilippines,Pag-IBIG,,"Santa Barbara, Iloilo",Iloilo,1304700.0,35.0,38.5,,,,https://www.google.com/maps/search/?api=1&query=Santa+Barbara%2C+Iloilo%2C+Philippines,https://www.foreclosurephilippines.com/wp-content/uploads/2026/07/fil5920250911021-310x190.jpg
foreclosurephilippines,Pag-IBIG,,"Santa Barbara, Iloilo",Iloilo,1307200.0,35.0,38.5,,,,https://www.google.com/maps/search/?api=1&query=Santa+Barbara%2C+Iloilo%2C+Philippines,https://www.foreclosurephilippines.com/wp-content/uploads/2026/07/fil5920250912035-310x190.jpg
foreclosurephilippines,Pag-IBIG,,"Santa Barbara, Iloilo",Iloilo,1308200.0,35.0,38.5,,,,https://www.google.com/maps/search/?api=1&query=Santa+Barbara%2C+Iloilo%2C+Philippines,https://www.foreclosurephilippines.com/wp-content/uploads/2026/07/fil5920260708052-310x190.jpg
