source,seller,property_type,location_text,province,price_php,lot_area_sqm,floor_area_sqm,tct,sale_type,auction_date,maps_url,image_url,source_url,posted_date,branch
foreclosurephilippines,Pag-IBIG,,"Oton, Iloilo",Iloilo,408690.0,36.0,22.0,090-2020004231,,,https://www.google.com/maps/search/?api=1&query=Oton%2C+Iloilo%2C+Philippines,https://www.foreclosurephilippines.com/wp-content/uploads/2026/07/fil5920250915014-310x190.jpg,https://www.foreclosurephilippines.com/advert/pag-ibig-ropa-858202508190022-lot-03-blk-18-phase-i-lumina-iloilo-abilay-norte-oton-iloilo-5020-2nd-public-auction-on-jul-27-2026-jul-31-2026/,2026/07/20,BACOLOD BRANCH
metrobank,Metrobank,Residential With Improvement,"Pavia, Iloilo",Iloilo,792000.0,45.0,40.0,090-2022010962,,,https://www.google.com/maps/search/?api=1&query=Pavia%2C+Iloilo%2C+Philippines,https://metrobank-ropa-prod.s3.ap-southeast-1.amazonaws.com/60809,https://www.metrobank.com.ph/assets-for-sale/properties/details?id=10828000004085,,
lamudi,BPI (Buena Mano),Lot,"Pavia, Iloilo",Iloilo,952000.0,88.0,,,,,https://www.google.com/maps/search/?api=1&query=Pavia%2C+Iloilo%2C+Philippines,https://img.lamudi.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3Rlci8wMTlmMTc2YS01NWE1LTc4ZWYtOWJmNC0xYTkwMzgzMDM4NmEvNjEwNTc0NTdjMDY0NzNlOTk0MzUyOTc4NGE2NTU5NGFhZGI2MzZlMmVjNDJkNDkxMzQwNDY2MzQ0NDMwNmE3MS5wbmciLCJicmFuZCI6ImxhbXVkaSIsImVkaXRzIjp7InJvdGF0ZSI6bnVsbCwicmVzaXplIjp7IndpZHRoIjozMjAsImhlaWdodCI6MjQwLCJmaXQiOiJjb3ZlciJ9fX0=,https://www.lamudi.com.ph/property/41032-73-1a90383038b3-55ee-19f17b3-9c3d-7938,,
lamudi,BPI (Buena Mano),Condominium,"Iloilo, Iloilo",Iloilo,1019300.0,,12.0,,,,https://www.google.com/maps/search/?api=1&query=Iloilo%2C+Iloilo%2C+Philippines,https://img.lamudi.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3Rlci8wMTlmMjZkOC02NTJiLTc1ZWYtYWFmNC0wMjAwYjlhYTI2MjQvODhjNTAwOWNmOWYzOGVkYTViODIyNTQ4MWVlNzM5YjBiN2NlOGY3NzNiN2NkYWYxNmNlN2I4ZGI1MTY3M2Y3Ny5wbmciLCJicmFuZCI6ImxhbXVkaSIsImVkaXRzIjp7InJvdGF0ZSI6bnVsbCwicmVzaXplIjp7IndpZHRoIjozMjAsImhlaWdodCI6MjQwLCJmaXQiOiJjb3ZlciJ9fX0=,https://www.lamudi.com.ph/property/41032-73-200b9aa266d-6574-19f2721-ab3d-7638,,
lamudi,BDO,Lot,"Oton, Iloilo",Iloilo,1056000.0,96.0,,,,,https://www.google.com/maps/search/?api=1&query=Oton%2C+Iloilo%2C+Philippines,https://img.lamudi.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3Rlci8wMTllOGMyYi0wMjFlLTdlYjItYWYzYy1hNTkxZTA1NWRmNzgvYjU5ZTY5YjU3Yzc4OWVkZDkwMjNiYzk5ZDM2M2EyNzczMGM0MjExNzBjZWRiMTEyOGE1YmFjNTE1ODM3ZGMzMS5qcGVnIiwiYnJhbmQiOiJsYW11ZGkiLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6MzIwLCJoZWlnaHQiOjI0MCwiZml0IjoiY292ZXIifX19,https://www.lamudi.com.ph/property/41032-73-a591e055dfc1-267-19e8c74-af85-7efb,,
lamudi,BPI (Buena Mano),Lot,"Pavia, Iloilo",Iloilo,1119100.0,81.0,,,,,https://www.google.com/maps/search/?api=1&query=Pavia%2C+Iloilo%2C+Philippines,https://img.lamudi.com/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJpbmdlc3Rlci8wMTlmMTc2YS0zNDAyLTdlYjQtOTIyOC1hY2Y1NGYzNmIzM2MvMzhmMzc0OWQwZGEzNzU2NzBlMmUwMWY3MWNmNzBkYWY1M2U3MWY0NzQyYjdlOGEyZDZmODM4ZjRmMDIzOTNkMi5wbmciLCJicmFuZCI6ImxhbXVkaSIsImVkaXRzIjp7InJvdGF0ZSI6bnVsbCwicmVzaXplIjp7IndpZHRoIjozMjAsImhlaWdodCI6MjQwLCJmaXQiOiJjb3ZlciJ9fX0=,https://www.lamudi.com.ph/property/41032-73-acf54f36b385-344b-19f17b3-9271-7efd,,
foreclosurephilippines,Pag-IBIG,,"Santa Barbara, Iloilo",Iloilo,1156778.0,35.0,38.5,090-2022023202,,,https://www.google.com/maps/search/?api=1&query=Santa+Barbara%2C+Iloilo%2C+Philippines,https://www.foreclosurephilippines.com/wp-content/uploads/2026/07/fil5920250609023-310x190.jpg,https://www.foreclosurephilippines.com/advert/pag-ibig-ropa-id-858202504290005-foreclosed-town-house-lot-77-blk-22-deca-homes-sta-barbara-residences-socialized-phase-2-balabag-santa-barbara-iloilo-5002-from-tranche-opa5910011-1st-auc/,2026/07/19,BACOLOD BRANCH
foreclosurephilippines,Pag-IBIG,,"Santa Barbara, Iloilo",Iloilo,1167700.0,35.0,38.5,902022023370,,,https://www.google.com/maps/search/?api=1&query=Santa+Barbara%2C+Iloilo%2C+Philippines,https://www.foreclosurephilippines.com/wp-content/uploads/2026/07/fil5920250610036-310x190.jpg,https://www.foreclosurephilippines.com/advert/pag-ibig-ropa-id-858202412130010-foreclosed-town-house-lot-61-blk-24-phase-2-deca-homes-sta-barbara-residences-socialized-phase-2-balabag-santa-barbara-iloilo-5002-from-tranche-opa5910011/,2026/07/19,BACOLOD BRANCH
foreclosurephilippines,Pag-IBIG,,"Santa Barbara, Iloilo",Iloilo,1207500.0,35.0,38.5,902022023669,,,https://www.google.com/maps/search/?api=1&query=Santa+Barbara%2C+Iloilo%2C+Philippines,https://www.foreclosurephilippines.com/wp-content/uploads/2026/07/fil5920250819004-310x190.jpg,https://www.foreclosurephilippines.com/advert/pag-ibig-foreclosed-town-house-lot-84-blk-27-deca-homes-sta-barbara-residences-economic-balabag-santa-barbara-iloilo-5002-negotiated-sale-on-mar-30-2026-apr-10-2026-occupied/,2026/07/19,BACOLOD BRANCH
foreclosurephilippines,Pag-IBIG,,"Santa Barbara, Iloilo",Iloilo,1224500.0,35.0,38.5,090-2022023553,,,https://www.google.com/maps/search/?api=1&query=Santa+Barbara%2C+Iloilo%2C+Philippines,https://www.foreclosurephilippines.com/wp-content/uploads/2026/07/fil5920250609008-310x190.jpg,https://www.foreclosurephilippines.com/advert/pag-ibig-ropa-id-858202412120050-foreclosed-town-house-lot-60-blk-26-deca-homes-sta-barbara-residences-socialized-phase-2-balabag-santa-barbara-iloilo-5002-from-tranche-opa5910011-1st-auc/,2026/07/19,BACOLOD BRANCH
